	Word	Bigram	Conc.M	Conc.SD	Unknown	Total	Percent_known	SUBTLEX	Dom_Pos
1	traindriver	0	4.54	0.71	3	29	0.896551724137931	0	0
2	tush	0	4.45	1.01	3	25	0.88	66	0
3	hairdress	0	3.93	1.28	0	29	1.0	1	0
4	pharmaceutics	0	3.77	1.41	4	26	0.8461538461538461	0	0
5	hoover	0	3.76	1.23	4	29	0.8620689655172413	162	0
6	shopkeeping	0	3.18	1.19	1	29	0.9655172413793104	0	0
8	underdevelop	0	2.37	1.4	0	30	1.0	0	0
9	tirelessness	0	2.28	1.28	1	30	0.9666666666666667	0	0
10	oldfashioned	0	2.26	1.02	0	27	1.0	0	0
11	wellmannered	0	2.25	1.14	2	30	0.9333333333333333	0	0
12	dismissiveness	0	1.83	1.0	1	30	0.9666666666666667	0	0
13	spitefulness	0	1.8	0.76	0	25	1.0	0	0
14	untruthfulness	0	1.73	0.92	4	30	0.8666666666666667	0	0
15	dispiritedness	0	1.56	0.71	3	28	0.8928571428571429	0	0
16	sled	0	5.0	0.0	0	28	1.0	149	Adjective
18	human	0	4.93	0.26	0	28	1.0	6363	Adjective
19	waterbed	0	4.93	0.27	0	27	1.0	27	Adjective
21	ginger	0	4.92	0.27	0	26	1.0	327	Adjective
22	bobsled	0	4.9	0.41	0	29	1.0	48	Adjective
23	cardboard	0	4.9	0.41	0	29	1.0	138	Adjective
24	olive	0	4.9	0.31	0	30	1.0	375	Adjective
25	dogsled	0	4.89	0.32	0	27	1.0	2	Adjective
26	rubber	0	4.86	0.74	0	29	1.0	714	Adjective
27	soybean	0	4.82	0.77	0	28	1.0	25	Adjective
28	tangerine	0	4.81	0.62	0	27	1.0	38	Adjective
29	headrest	0	4.8	0.76	0	30	1.0	6	Adjective
30	eucalyptus	0	4.77	0.57	0	30	1.0	25	Adjective
31	saltwater	0	4.77	0.82	0	30	1.0	31	Adjective
32	armrest	0	4.76	0.83	0	29	1.0	8	Adjective
33	paramedic	0	4.74	0.45	1	24	0.9583333333333334	107	Adjective
34	liquid	0	4.72	0.54	0	25	1.0	395	Adjective
35	billfold	0	4.71	1.0	2	26	0.9230769230769231	12	Adjective
36	canine	0	4.71	0.6	0	28	1.0	86	Adjective
37	flowerbed	0	4.71	0.6	0	28	1.0	6	Adjective
38	soy	0	4.7	0.6	0	30	1.0	118	Adjective
39	bald	0	4.69	0.47	0	26	1.0	496	Adjective
40	lilac	0	4.69	0.97	0	29	1.0	39	Adjective
41	hemorrhoid	0	4.68	0.72	1	29	0.9655172413793104	18	Adjective
42	orange	0	4.66	0.9	0	29	1.0	1138	Adjective
43	arachnid	0	4.65	0.69	3	29	0.896551724137931	13	Adjective
45	barefoot	0	4.62	0.68	0	29	1.0	121	Adjective
46	bearded	0	4.62	0.7	1	27	0.9629629629629629	65	Adjective
47	thyroid	0	4.61	0.74	0	28	1.0	28	Adjective
48	wooden	0	4.61	0.63	0	28	1.0	367	Adjective
49	sleeveless	0	4.6	0.5	0	25	1.0	5	Adjective
50	concrete	0	4.59	1.05	0	27	1.0	379	Adjective
51	panty	0	4.59	0.91	0	29	1.0	53	Adjective
52	pregnant	0	4.59	0.89	0	27	1.0	2653	Adjective
53	helmeted	0	4.58	0.7	1	27	0.9629629629629629	1	Adjective
54	hula	0	4.58	0.64	3	29	0.896551724137931	100	Adjective
55	female	0	4.57	0.88	0	28	1.0	1612	Adjective
56	crematory	0	4.56	0.58	1	28	0.9642857142857143	14	Adjective
58	sphincter	0	4.54	0.99	1	27	0.9629629629629629	57	Adjective
59	backrest	0	4.52	0.92	1	26	0.9615384615384616	1	Adjective
61	farmhand	0	4.52	1.01	0	27	1.0	3	Adjective
62	fat	0	4.52	0.85	0	27	1.0	4051	Adjective
63	hairless	0	4.52	0.94	0	27	1.0	30	Adjective
